value,address
   2,"CONTINENTAL AVE and SAND HILL RD MORRISTOWN TOWN, NJ"
   1,"COREY RD and HILLARY AVE MORRISTOWN TOWN, NJ"
   2,"COREY RD and US 202 MORRISTOWN TOWN, NJ"
   1,"CORY RD and HILLAIRY AVE MORRISTOWN TOWN, NJ"
   2,"CORY RD and HILLARY AVE MORRISTOWN TOWN, NJ"
   7,"CORY RD and US 202 MORRISTOWN TOWN, NJ"
   1,"CORY ROAD and HILLAIRY AVE MORRISTOWN TOWN, NJ"
   5,"CORY ROAD and US 202 MORRISTOWN TOWN, NJ"
   3,"COURT ST and ANN ST MORRISTOWN TOWN, NJ"
   2,"COURT ST and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"COURT ST and WASHINGTON ST MORRISTOWN TOWN, NJ"
   4,"CUTLER ST and MILLS ST MORRISTOWN TOWN, NJ"
   6,"CUTLER ST and US 202 MORRISTOWN TOWN, NJ"
   2,"DALTON GARAGE 25 CATTANO AVE MORRISTOWN TOWN, NJ"
   2,"DEHART ST and MACCULLOCH AVE MORRISTOWN TOWN, NJ"
   4,"DEHART ST and MAPLE AVE MORRISTOWN TOWN, NJ"
   2,"DEHART ST and MAPLE AVENUE MORRISTOWN TOWN, NJ"
   1,"DEHART ST and SOUTH ST MORRISTOWN TOWN, NJ"
   2,"DEHART ST and SOUTH ST/NJ 124 MORRISTOWN TOWN, NJ"
   2,"DEHART ST MORRISTOWN TOWN, NJ"
   2,"DEHART STREET and SOUTH STREET MORRISTOWN TOWN, NJ"
   4,"DEKALB PL and FRANKLIN ST MORRISTOWN TOWN, NJ"
   1,"DORADO DR and TURTLE RD MORRISTOWN TOWN, NJ"
   1,"DORADO DRIVE and TURNBULL LANE MORRISTOWN TOWN, NJ"
   1,"DRIVEWAY TO 177 SPEEDWELL AVE and SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"DUMONT and WILMOT MORRISTOWN TOWN, NJ"
   3,"DUMONT PL and MORRIS ST MORRISTOWN TOWN, NJ"
   4,"DUMONT PL and PINE ST MORRISTOWN TOWN, NJ"
   2,"DUMONT PL and WILMOT ST MORRISTOWN TOWN, NJ"
   1,"DUMONT PL MORRISTOWN TOWN, NJ"
   2,"DUMONT PLACE and PINE ST MORRISTOWN TOWN, NJ"
   1,"DUMONT PLACE and PINE STREET MORRISTOWN TOWN, NJ"
   1,"DUMONT PLACE and SOUTH PARK PLACE MORRISTOWN TOWN, NJ"
   2,"E PARK PLACE and WATER STREET MORRISTOWN TOWN, NJ"
  12,"EARLY ST and ATNO AVE MORRISTOWN TOWN, NJ"
   4,"EARLY ST and ATNO AVE. MORRISTOWN TOWN, NJ"
   4,"EARLY ST and ATNO AVENUE MORRISTOWN TOWN, NJ"
   2,"EARLY ST and ATTNO AVE MORRISTOWN TOWN, NJ"
   4,"EARLY ST and HARRISON ST MORRISTOWN TOWN, NJ"
   2,"EARLY ST and HARRISON ST. MORRISTOWN TOWN, NJ"
